
=== as_price: 94/1992 mismatches (4.7%) ===
[126] true=positive pred=neutral | sách chất lượng lượng và giá phải chăng lắm ạ
[267] true=positive pred=neutral | sách có vẻ tốt hay rẻ hình để lấy xu th
[317] true=positive pred=neutral | hình ảnh mang tính chất lượng minh hoạ. may mà tiki còn quyển này. bé nhà mình rất thích. giá cả phải chăng ạ.
[324] true=positive pred=neutral | hàng đẹp nhaa xui cái mình không có chữ kí, mình lười chụp hình quá như siu xứng với giá tiền bỏ ra nhé
[325] true=negative pred=neutral | không có chữ ký. đặt đợt đầu giá cao hơn bây giờ. giấy chất lượng tốt kiểu mấy cuốn truyện màu
[346] true=positive pred=neutral | sách 1k cực kỳ hài lòng với cái giá
[364] true=positive pred=neutral | sách mới, còn có đóng gói màng co, thẳng thớm, không bị quăng góc gì cả, dù gói hàng của mình chỉ là sách bỏ vào trong hộp. thấy giảm giá nên mua để đọc dần.
[373] true=positive pred=absent | nội dung sách thì mình chưa thể đánh giá nhưng chất lượng lượng sách tốt , màu giấy và chữ in rất dễ đọc. nói chung mua sách trên kiti chưa bao giờ mình thất vọ...
[419] true=positive pred=neutral | giá 75k mua được 52k còn đóng gói bảo vệ. giao nhanh, nội dung thì quá tuyệt. đọc xong mà hạnh phúc ghê hài lòng
[461] true=positive pred=neutral | giao hàng nhanh tiki luôn tuyệt vời, gói đẹp chất lượng lượng sách tuyệt vời ông mặt trời về nội dung sách: toàn những tác phẩm bán chạy toàn cầu thì chất lượng...
[513] true=positive pred=neutral | may mắn là sách mình nhận được rất đẹp.so với giá 138k ghi trên bìa sách thì 96k quá lời rồi. sách có 116 trang, giấy có vẻ mỏng hơn cuốn tô bình yên 1 tẹo. khô...
[573] true=negative pred=neutral | hic, giá trước giảm giá rẻ hơn giá trong đợt giảm giá, btw sách thẳng thớm mới tinh nhé mọi người, dùng được bọc sách á, đóng gói tốt. mỗi bài có 12 từ, một số ...
[600] true=positive pred=neutral | sản phẩm tốt giá rẻ
[618] true=positive pred=neutral | sách tồn 2019 nên giảm giá nhưng chất lượng lượng
[656] true=negative pred=neutral | chỉnh bìa lại bán đắt hơn!! thời giá tăng caoo.., ôi trời ạ
[666] true=positive pred=neutral | chất lượng lượng dịch vụ rất tốt. giao hàng nhanh, giá cả hợp lí người giao hàng thân thiện. còn về nội dung thì để các bạn tự đánh giá khi đọc nhé
[695] true=negative pred=neutral | đặt số lượng 1 nhưng thành tiền là 2. mặc dù sách còn in ấn tốt. bìa cứng tạm ổn. do đặt chung với nhiều đơn nên chỉ nhìn số lượng mà chưa kiểm tra kỹ nên mất t...
[702] true=negative pred=neutral | sách đã xuất bản lâu nhưng giá thì quá đắt. nội dung cũng khá chung chung. giá không nên quá đắt như vậy
[738] true=positive pred=neutral | giao hàng nhanh, người giao hàng thân thiện lắm lun, về phần sách thì không trầy xước xước, nhưng sách bị cong khiến mình hơi đau lòng :(, tóm lại là cũng không...
[744] true=negative pred=neutral | chất lượng lượng in ấn và nội dung sách tốt tuy nhiên chất lượng lượng vận chuyển chưa tốt. sách bìa cứng nên thêm lớp túi bóng chống sốc chẳng hạn, để không bị...
[773] true=positive pred=neutral | giá tốt giao nhanh nhưng in bị lỗi
[806] true=negative pred=neutral | m không bàn về nội dung , vì chả có cuốn nào đọc nhát làm y xì là giàu có ngay lập tức. hehe đại loại không phải là cuốn kiểu step by step, cầm tay chỉ việc :((...
[809] true=negative pred=neutral | sách quá cao .. cuốn này chỉ đáng giá 100ngin thôi .. mình đọc qua thấy bình thường .. nhà sản xuất bán với mức giá 2990 quá cao .. anh em cân nhắc khi mua
[814] true=positive pred=neutral | giao cực kỳ nhanh, sách để kho hơi lâu nên bị cong, bao bị rách, nhưng không ảnh hưởng tới sách. thôi giá đó coi như chấp nhận được.
[822] true=positive pred=neutral | do phải xử lý hóa đơn nên tiki giao hàng hơi lâu, sách được giảm giá nên tuy có hơi dính keo, hơi nhăn xíu nhưng không sao
[827] true=positive pred=neutral | giảm giá nên không có đòi hỏi gì thêm mong một ngày mua của tiki có thẻ kẹp sách
[850] true=neutral pred=positive | từ điển y học dành cho mọi độ tuổi được viết đến để thực hiện nên những hiệu quả trong việc tra cứu khá nhanh không làm cho sự rối ren vấp phải nhầm lẫn giữa từ...
[857] true=negative pred=neutral | chất lượng lượng giấy quá xấu so với giá tiền
[865] true=negative pred=neutral | hơi bị thất vọng vì những gì mình kỳ vọng, giá đắt gấp đôi quyển ăn gì cho không độc hại, nhưng nội dung mở ra đọc 1 vài trang là không muốn đọc tiếp..
[901] true=negative pred=neutral | sách về tác giả mỹ thuật mà in đen trắng, không có ảnh màu, bán giá hơn hơn 300k là quá đắt.
[968] true=negative pred=neutral | bản sách đặc biệt như 1 cú lừa của alphabooks. chả khác gì bản thường, chém giá đắt x2. thêm có mỗi cái ar chả có thêm tác dụng gì cũng chém được giá x2.
[1019] true=positive pred=neutral | sau bao nhiêu năm nhân phẩm đặt sách tiki thì hôm nay sách bị vậy này thất vọng ví dụ mấy cuốn sách bìa cứng thì tiki có thể lựa chọn đóng seal cho đàng hoàng c...
[1021] true=negative pred=neutral | rất không hài lòng nhé 1 là đóng gói quá sơ sài đóng gói được đúng cái giấy bóng chống sốc mà hàng có dễ vỡ đâu , phải đóng bìa cat tông chứ về mở ra sách gãy h...
[1026] true=negative pred=neutral | giá sản phẩm rất đắt so với giá thị trường
[1058] true=negative pred=neutral | bán giá trên tiki gấp đôi giá bìa
[1078] true=negative pred=neutral | tệ. viết ù ù cạc cạc và bán giá cắt cổ. không tích đọng. quá lan man.
[1085] true=negative pred=neutral | sản phẩm như sách lậu, in ấn nhạt nhoà. đắt so với cái giá hơn 300k
[1091] true=negative pred=neutral | sách tập 2 không hay. không đáng tiền
[1100] true=negative pred=neutral | giá cao quá so với nhiều cửa hàng khác, mua xong mới để ý.hiuhiu
[1103] true=negative pred=neutral | giá khá đắt
[1118] true=negative pred=neutral | tiki là chuyên về sách, cuốn sách sói đội lốt cừu giá bìa 110k, bán 88k, giảm giá không nhiều, nhưng giấy in rất xấu, nhám và có mùi, từ nay không thèm mua sách...
[1123] true=negative pred=neutral | mình hóng quyển này cũng mấy ngày rồi khi nhận được và bắt đầu đọc thì cảm giác nó không đã lắm, nói chung chung chứ không cụ thể, mình đọc 1 tiếng rưỡi là xong...
