
=== as_delivery: 360/1992 mismatches (18.1%) ===
[6] true=negative pred=neutral | giao hàng lâu
[10] true=positive pred=neutral | đóng gói hàng cẩn thận , giao đúng hàng , mã code sử dụng được , cửa hàng nhiệt tình
[31] true=positive pred=neutral | giao hàng nhanh, nhiều kiến thức mới lạ
[35] true=positive pred=neutral | giao sách nhanh. sách tốt. một cuốn sách thú vị trong bộ sách 100.
[41] true=positive pred=neutral | giao hàng nhanh, giấy tạm ổn, chưa xem nội dung nên chưa biết
[42] true=positive pred=neutral | sách tốt, giao hàng nhanh, mình chưa đọc nên chưa biết đánh giá nội dung như thế nào
[45] true=positive pred=neutral | bé rất thích, cửa hàng giao hàng nhanh
[60] true=positive pred=neutral | vận chuyển siêu nhanh
[67] true=positive pred=neutral | sách rất tốt, giao hàng nhanh, rất tiện lợi, cung cấp đầy đủ các kĩ năng
[92] true=positive pred=neutral | giao nhanh
[94] true=positive pred=neutral | tốt hàng đúng vận chuyển nhanh chóng
[95] true=positive pred=neutral | sách chuẩn giao nhah rất tốt
[112] true=positive pred=neutral | sách về nhanh cực kì luôn ấy, vừa nhỏ gọn, cách bài trí các nội dung cũng rất đẹp mắt và dễ học. mình thích bộ sách này lắm í^^
[124] true=positive pred=neutral | giao hàng đúng hẹn, sách khi giao bị cong giấy và bị rách
[125] true=positive pred=neutral | sao sách không có bọc sách v cửa hàng ?, bề ngoài nhìn khá ổn giao hàng nhanh.
[127] true=positive pred=neutral | sách nói về nước ép rất hay giao hàng nhanh
[135] true=positive pred=neutral | tiki giao hàng quá nhanh quá chuẩn, dịch vụ bọc sách tuyệt cú mèo. cảm ơn tiki rất nhiều. mới đầu ngày nhận sách thấy rất phấn khích
[136] true=positive pred=neutral | cửa hàng chuyển hàng nhanh, đóng gói tốt. nhưng nhà xuất bản in hình bị mờ, kém chất lượng lượng
[140] true=positive pred=neutral | giao hàng nhanh sách bị cong 4 góc, đóng gói ẩu không có đóng gói sách làm ướt hộp bên ngoài dẫn đến ướt sách. mép sách bị nhăn
[142] true=positive pred=neutral | giao hàng nhanh ghê dịch mà xử lý lẹ giao hàng thật thiện ^^
[145] true=positive pred=neutral | sách xước quá vì không đóng gói bìa.nhưng thôi vẫn cho 5 sao vì giao hàng nhanh hơn dự kiến
[156] true=positive pred=neutral | sách rất tốt, sạch đẹp, giao hàng cũng rất nhanh
[158] true=positive pred=neutral | chưa đọc, nhưng hình thức giao hàng và chất lượng lượng bên ngoài sách rất tốt
[165] true=negative pred=neutral | cùng 1 kiện hàng với cuốn flow nhưng cuốn này không bị méo móp méo góc sách như cuốn flow nên có thể cuốn flow bị gẫy mép trước khâu vận chuyển, tiki cần xem lạ...
[169] true=positive pred=neutral | sách đẹp, tiki giao trước hẹn 1 ngày. dịch vụ nhanh. nhân viên nhiệt tình, thân thiện.
[170] true=positive pred=neutral | giao hàng tiết kiệm nhưng cũng rất nhanh, trong vòng 24h. sách đẹp, chất lượng lượng giấy tốt. rất hài lòng
[176] true=positive pred=neutral | giao hàng nhanh sách không bị bất kì vết xước gập nào cả
[196] true=positive pred=neutral | không hề thất vọng?? cố gắng hoàn thành sớm và đạt được kết quả tốt nhờ sách sách rõ ràng dễ hiểu đầy đủ cho phần viết lại câu tiki gút chóp quá, giao hàng sớm,...
[203] true=positive pred=neutral | sách đóng gói khá tốt, giao hàng sớm
[217] true=positive pred=neutral | đợt này mình rất bất ngờ vì tiki giao hàng khá nhanh (tối 1/3 mình đặt, sáng 3/3 đã về tới tay mình rồi, mình ở tỉnh nhé) về nội dung sách: gồm 4 chương như hìn...
[218] true=positive pred=neutral | dịch vụ rất tốt ạ, nội dung sách hay và ý nghĩa, giao hàng nhanh và đúng chất lượng lượng
[220] true=positive pred=neutral | hai mặt của gia đình. thế hệ trước và thế hệ sau. những hành động của cha mẹ chính là sự phản chiếu cách mà ông bà đã đối xử với cha mẹ bạn. cuốn sách giúp bạn ...
